1	studyB	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	4	question2	likert	has-both-task
1	studyB	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	5	question1	likert	has-both-task
1	studyB	pill-orange	no-video-task	I was satisfied having only data for this task.	4	question1	likert	no-video-task
1	studyB	pill-orange	no-video-task	When I look at the graph of either accelerometer or gyroscope data or both, I can tell what event would be happening if there was video.	3	question2	likert	no-video-task
1	studyB	pill-red	no-data-task	I was satisfied having only video for this task.	1	question1	likert	no-data-task
1	studyB	pill-red	no-data-task	With the experience that I have, I am able to sketch a rough graph (either accelerometer, gyroscope, OR both) for each of the events that were portrayed in the video that I just watched.	4	question2	likert	no-data-task
1	studyB	run-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	2	question2	likert	has-both-task
1	studyB	run-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	5	question1	likert	has-both-task
1	studyB	run-red	no-video-task	I was satisfied having only data for this task.	4	question1	likert	no-video-task
1	studyB	run-red	no-video-task	When I look at the graph of either accelerometer or gyroscope data or both, I can tell what event would be happening if there was video.	4	question2	likert	no-video-task
1	studyB	run-yellow	no-data-task	I was satisfied having only video for this task.	1	question1	likert	no-data-task
1	studyB	run-yellow	no-data-task	With the experience that I have, I am able to sketch a rough graph (either accelerometer, gyroscope, OR both) for each of the events that were portrayed in the video that I just watched.	3	question2	likert	no-data-task
2	studyA	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	2	question2	likert	has-both-task
2	studyA	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	4	question1	likert	has-both-task
2	studyA	pill-orange	no-data-task	I was satisfied having only video for this task.	4	question1	likert	no-data-task
2	studyA	pill-orange	no-data-task	With the experience that I have, I am able to sketch a rough graph (either accelerometer, gyroscope, OR both) for each of the events that were portrayed in the video that I just watched.	4	question2	likert	no-data-task
2	studyA	pill-red	no-video-task	I was satisfied having only data for this task.	2	question1	likert	no-video-task
2	studyA	pill-red	no-video-task	When I look at the graph of either accelerometer or gyroscope data or both, I can tell what event would be happening if there was video.	4	question2	likert	no-video-task
2	studyA	run-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	2	question2	likert	has-both-task
2	studyA	run-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	4	question1	likert	has-both-task
2	studyA	run-red	no-data-task	I was satisfied having only video for this task.	2	question1	likert	no-data-task
2	studyA	run-red	no-data-task	With the experience that I have, I am able to sketch a rough graph (either accelerometer, gyroscope, OR both) for each of the events that were portrayed in the video that I just watched.	2	question2	likert	no-data-task
2	studyA	run-yellow	no-video-task	I was satisfied having only data for this task.	2	question1	likert	no-video-task
2	studyA	run-yellow	no-video-task	When I look at the graph of either accelerometer or gyroscope data or both, I can tell what event would be happening if there was video.	4	question2	likert	no-video-task
3	studyC	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	2	question2	likert	has-both-task
3	studyC	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	5	question1	likert	has-both-task
3	studyC	pill-orange	no-data-task	I was satisfied having only video for this task.	2	question1	likert	no-data-task
3	studyC	pill-orange	no-data-task	With the experience that I have, I am able to sketch a rough graph (either accelerometer, gyroscope, OR both) for each of the events that were portrayed in the video that I just watched.	2	question2	likert	no-data-task
3	studyC	pill-red	no-video-task	I was satisfied having only data for this task.	1	question1	likert	no-video-task
3	studyC	pill-red	no-video-task	When I look at the graph of either accelerometer or gyroscope data or both, I can tell what event would be happening if there was video.	5	question2	likert	no-video-task
3	studyC	run-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	2	question2	likert	has-both-task
3	studyC	run-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	5	question1	likert	has-both-task
3	studyC	run-yellow	no-video-task	I was satisfied having only data for this task.	1	question1	likert	no-video-task
3	studyC	run-yellow	no-video-task	When I look at the graph of either accelerometer or gyroscope data or both, I can tell what event would be happening if there was video.	5	question2	likert	no-video-task
4	studyA	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	5	question2	likert	has-both-task
4	studyA	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	5	question1	likert	has-both-task
4	studyA	pill-red	no-video-task	I was satisfied having only data for this task.	5	question1	likert	no-video-task
4	studyA	pill-red	no-video-task	When I look at the graph of either accelerometer or gyroscope data or both, I can tell what event would be happening if there was video.	5	question2	likert	no-video-task
4	studyA	run-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	3	question2	likert	has-both-task
4	studyA	run-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	5	question1	likert	has-both-task
4	studyA	run-red	no-data-task	I was satisfied having only video for this task.	2	question1	likert	no-data-task
4	studyA	run-red	no-data-task	With the experience that I have, I am able to sketch a rough graph (either accelerometer, gyroscope, OR both) for each of the events that were portrayed in the video that I just watched.	4	question2	likert	no-data-task
4	studyA	run-yellow	no-video-task	I was satisfied having only data for this task.	4	question1	likert	no-video-task
4	studyA	run-yellow	no-video-task	When I look at the graph of either accelerometer or gyroscope data or both, I can tell what event would be happening if there was video.	5	question2	likert	no-video-task
5	studyD	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	4	question2	likert	has-both-task
5	studyD	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	5	question1	likert	has-both-task
5	studyD	pill-orange	no-video-task	I was satisfied having only data for this task.	2	question1	likert	no-video-task
5	studyD	pill-orange	no-video-task	When I look at the graph of either accelerometer or gyroscope data or both, I can tell what event would be happening if there was video.	3	question2	likert	no-video-task
5	studyD	pill-red	no-data-task	I was satisfied having only video for this task.	2	question1	likert	no-data-task
5	studyD	pill-red	no-data-task	With the experience that I have, I am able to sketch a rough graph (either accelerometer, gyroscope, OR both) for each of the events that were portrayed in the video that I just watched.	3	question2	likert	no-data-task
5	studyD	run-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	5	question2	likert	has-both-task
5	studyD	run-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	5	question1	likert	has-both-task
5	studyD	run-yellow	no-data-task	I was satisfied having only video for this task.	4	question1	likert	no-data-task
5	studyD	run-yellow	no-data-task	With the experience that I have, I am able to sketch a rough graph (either accelerometer, gyroscope, OR both) for each of the events that were portrayed in the video that I just watched.	4	question2	likert	no-data-task
6	studyB	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHAT event was occurring.	5	question2	likert	has-both-task
6	studyB	pill-blue	has-both-task	When I looked at the data, I was able to recognize WHEN an event occurred.	5	question1	likert	has-both-task
6	studyB	pill-orange	no-video-task	I was satisfied having only data for this task.	1	question1	likert	no-video-task
